id_booking,id_agoda,titolo_booking,titolo_agoda,similarity,pair,città_booking,città_agoda,prezzo_booking,prezzo_agoda
411,189,navona stay,navona stay,1.0,411#189, Roma, Roma ,232,206
412,165,hotel contilia,hotel contilia,1.0,412#165, Roma, Roma ,166,153
413,12,ah roma,ah roma,1.0,413#12,, Roma ,88,88
415,136,hostel trastevere,hostel trastevere,1.0,415#136, Roma, Roma ,201,163
422,63,hotel santangelo,hotel santangelo,1.0,422#63, Roma, Roma ,144,144
425,392,hotel albergo santa chiara,hotel albergo santa chiara,1.0,425#392, Roma, Roma ,233,213
428,191,floris hotel,floris hotel,1.0,428#191, Roma, Roma ,250,215
433,440,hotel valadier,hotel valadier,1.0,433#440, Roma, Roma ,249,206
435,100,la griffe hotel roma,la griffe hotel roma,1.0,435#100, Roma, Roma ,210,139
440,327,best western premier hotel royal santina,best western premier hotel royal santina,1.0,440#327, Roma, Roma ,231,231
447,284,twentyone hotel,twenty one hotel,0.9608333333333333,447#284, Roma, Roma ,239,202
448,278,hotel everest inn rome,hotel everest inn rome,1.0,448#278, Roma, Roma ,170,139
450,376,the major hotel,the major hotel,1.0,450#376, Roma, Roma ,332,243
457,74,noba hotel e residenze,noba hotel e residenze,1.0,457#74, Roma, Roma ,139,117
458,369,da me suites,da me suites,1.0,458#369, Roma, Roma ,175,175
462,234,novotel roma est,novotel roma est,1.0,462#234,, Roma ,143,143
467,221,at home townhouse filiberto,at home townhouse filiberto,1.0,467#221, Roma, Roma ,177,164
468,200,hostel mosaic,hostel mosaic,1.0,468#200, Roma, Roma ,109,109
472,311,corso suite 107 rooms wellness spa,corso suite 107 rooms wellnessspa,0.9941176470588236,472#311, Roma, Roma ,240,270
475,139,citizenm rome isola tiberina,citizenm rome isola tiberina,1.0,475#139, Roma, Roma ,304,304
477,429,room select via veneto,room select via veneto,1.0,477#429, Roma, Roma ,187,158
481,275,hotel barberini,hotel barberini,1.0,481#275, Roma, Roma ,364,359
