id_booking,id_agoda,titolo_booking,titolo_agoda,città_booking,città_agoda,zona_booking,zona_agoda,name_similarity,città_similarity,pair,prezzo_booking,prezzo_agoda
603,528,river chateau hotel,river chateau hotel,roma,roma,Tor Di Quinto,Flaminio e Parioli,1.0,1.0,603#528,192,143
611,329,hotel caravita,hotel caravita,roma,roma,Pantheon,Pantheon,1.0,1.0,611#329,377,311
618,359,hotel patria,hotel patria,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,618#359,164,125
619,92,precise house mantegna roma,precise house mantegna roma,roma,roma,Ardeatino,Eur e Garbatella,1.0,1.0,619#92,177,177
626,183,hotel mozart,hotel mozart,roma,roma,Spagna,Piazza di Spagna,1.0,1.0,626#183,254,232
751,282,hotel balilla,hotel balilla,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,751#282,160,139
765,111,hotel dei congressi,hotel dei congressi,roma,roma,Eur,Eur e Garbatella,1.0,1.0,765#111,197,172
539,154,c hotels club house roma,c hotels club house roma,roma,roma,Aurelio,Trionfale,1.0,1.0,539#154,151,141
851,575,san francesco home,san francesco home,terni,terni,Terni,Terni,1.0,1.0,851#575,84,84
838,615,appartamenti il cerqueto 2,appartamenti il cerqueto 2,terni,terni,Terni,Terni,1.0,1.0,838#615,74,74
840,567,white,white,terni,terni,Terni,Terni,1.0,1.0,840#567,67,67
841,541,hotel garden terni,hotel garden terni,terni,terni,Terni,Terni,1.0,1.0,841#541,138,138
842,675,aryhouse,aryhouse,terni,terni,Terni,Terni,1.0,1.0,842#675,85,85
843,554,tre colonne,tre colonne,terni,terni,Terni,Terni,1.0,1.0,843#554,76,76
844,663,asso residence stazione,asso residence stazione,terni,terni,Terni,Terni,1.0,1.0,844#663,94,94
845,593,ggapartment,ggapartment,terni,terni,Terni,Terni,1.0,1.0,845#593,129,129
846,588,il giardino di venere,il giardino di venere,terni,terni,Terni,Terni,1.0,1.0,846#588,74,74
847,550,casa nel verde,casa nel verde,terni,terni,Terni,Terni,1.0,1.0,847#550,59,59
848,622,la casetta bilocale con giardino privato,la casetta bilocale con giardino privato,terni,terni,Terni,Terni,1.0,1.0,848#622,109,109
849,594,mms home,mms home,terni,terni,Terni,Terni,1.0,1.0,849#594,85,85
850,669,appartamenti natura e terra marmore,appartamenti natura e terra marmore,terni,terni,Terni,Terni,1.0,1.0,850#669,113,113
852,582,tre monumenti luxury suites,tre monumenti luxury suites,terni,terni,Terni,Terni,1.0,1.0,852#582,113,113
836,640,as maison,as maison,terni,terni,Terni,Terni,1.0,1.0,836#640,89,89
853,641,il teatro alloggi,il teatro alloggi,terni,terni,Terni,Terni,1.0,1.0,853#641,93,93
854,608,palmira house delizioso bilocale for two,palmira house delizioso bilocale for two,terni,terni,Terni,Terni,1.0,1.0,854#608,94,94
855,626,white 2,white 2,terni,terni,Terni,Terni,1.0,1.0,855#626,73,73
856,635,la casa nella contea,la casa nella contea,terni,terni,Terni,Terni,1.0,1.0,856#635,92,92
857,645,la casa di emma,la casa di emma,terni,terni,Terni,Terni,1.0,1.0,857#645,94,94
858,625,interamna house intero appartamento exclusive use,interamna house intero appartamento exclusive use,terni,terni,Terni,Terni,1.0,1.0,858#625,97,97
859,609,la collina dei castagni,la collina dei castagni,terni,terni,Terni,Terni,1.0,1.0,859#609,134,134
860,583,civico sessantasei,civico sessantasei,terni,terni,Terni,Terni,1.0,1.0,860#583,104,104
861,618,civico 66,civico 66,terni,terni,Terni,Terni,1.0,1.0,861#618,100,100
863,578,rio bed,rio bed,terni,terni,Terni,Terni,1.0,1.0,863#578,94,94
864,584,af house,af house,terni,terni,Terni,Terni,1.0,1.0,864#584,107,107
865,649,the lover house,the lover house,terni,terni,Terni,Terni,1.0,1.0,865#649,82,82
837,632,la casa di alan,la casa di alan,terni,terni,Terni,Terni,1.0,1.0,837#632,80,80
835,629,le camere di ettore,le camere di ettore,terni,terni,Terni,Terni,1.0,1.0,835#629,79,79
769,274,trevi palace luxury inn,trevi palace luxury inn,roma,roma,Trevi,Fontana di Trevi,1.0,1.0,769#274,416,266
819,566,bb angolo verde,bb angolo verde,terni,terni,Terni,Terni,1.0,1.0,819#566,69,69
770,181,hotel saint john,hotel saint john,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,770#181,228,167
774,62,aparthotel colombo roma,aparthotel colombo roma,roma,roma,Ostiense,Eur e Garbatella,1.0,1.0,774#62,172,172
775,53,the independent hotel,the independent hotel,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,775#53,275,162
792,64,the cross hotel,the cross hotel,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,792#64,283,222
793,232,una hotels trastevere roma,una hotels trastevere roma,roma,roma,Trastevere,Trastevere,1.0,1.0,793#232,289,244
