,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
74,Charme & Chic Luxury,"8,7",Favoloso ,764 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 304,"0,7 km dal centro","Pantheon, Roma",,4.0,Camera Tripla Superior,Configurazione camera non disponibile,Camera Tripla SuperiorVari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
75,Trinità Grand Suite,"9,1",Eccellente ,589 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 174,"0,9 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
76,PAX hotel,"9,3",Eccellente ,1.069 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 253,"0,8 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeRestano solo 5 camere a questo prezzo sul nostro sito
77,My Maison 70 Guest House,"8,7",Favoloso ,505 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 204,2 km dal centro,"Stazione Termini, Roma",,4.0,Camera Tripla Superior,Configurazione camera non disponibile,"Camera Tripla Superior2 letti (1 singolo, 1 matrimoniale)Restano solo 2 camere a questo prezzo sul nostro sito"
78,Residenza Cola Di Rienzo - Suite In Rome,"8,4",Ottimo ,308 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 135,2 km dal centro,"Vaticano Prati, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
79,Corso Boutique Luxury Rooms,"8,9",Favoloso ,426 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 306,"1,5 km dal centro","Spagna, Roma",,4.0,Junior Suite,Suite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 23 m²,Junior SuiteSuite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 23 m²1 letto matrimonialeCancellazione gratuitaNe resta solo 1 a questo prezzo sul nostro sito
80,Suites Romae Rex,"8,8",Favoloso ,462 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 211,"0,9 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
81,Escape Luxury Suite - CA Domus Collection,"9,2",Eccellente ,1.062 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 209,1 km dal centro,"Trevi, Roma",,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale alla franceseCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
82,Vibe Nazionale,"8,1",Ottimo ,1.013 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 156,"0,8 km dal centro","Rione Monti, Roma",3.0,,Piccola Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Piccola Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
83,Residenza Flaminio Gaio,"8,0",Ottimo ,1.036 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 187,"1,9 km dal centro","Villa Borghese/Parioli, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale largeCancellazione gratuitaRestano solo 7 camere a questo prezzo sul nostro sito
84,St. Peter' Six Rooms & Suites,"8,4",Ottimo ,391 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 282,"1,9 km dal centro","Vaticano Prati, Roma",,4.0,Suite - Edificio Separato ,Suite privata,"Suite - Edificio Separato Suite privata2 letti (1 singolo, 1 matrimoniale grande)Cancellazione gratuitaNe resta solo 1 a questo prezzo sul nostro sito"
85,The RomeHello,"9,3",Eccellente ,7.166 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 161,"1,3 km dal centro","Stazione Termini, Roma",,,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeCancellazione gratuitaRestano solo 4 camere a questo prezzo sul nostro sito
86,Ara Pacis Inn,"8,1",Ottimo ,671 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 226,"1,4 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale largeColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
87,Hotel Alexis,"8,1",Ottimo ,1.845 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 182,"1,8 km dal centro","Stazione Termini, Roma",2.0,,Camera Tripla con Bagno Privato,Configurazione camera non disponibile,"Camera Tripla con Bagno Privato2 letti (1 singolo, 1 matrimoniale grande)Resta solo 1 camera a questo prezzo sul nostro sito"
88,Orazio Palace Hotel,"8,8",Favoloso ,1.470 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 234,"1,8 km dal centro","Vaticano Prati, Roma",4.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
89,Trastevere Suites - Top Collection,"8,5",Ottimo ,1.041 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 156,"1,7 km dal centro","Trastevere, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
90,Babuino Palace&Suites,"9,1",Eccellente ,659 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 337,"1,5 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimoniale largeRestano solo 5 camere a questo prezzo sul nostro sito
91,Grand Hotel Fleming by OMNIA hotels,"7,8",Buono ,2.519 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 156,"5,4 km dal centro","Tor Di Quinto, Roma",4.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 5 camere a questo prezzo sul nostro sito
92,CIRCLE PIAZZA DI SPAGNA 60 SUITES COLLECTION,"8,7",Favoloso ,121 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 465,"1,1 km dal centro","Spagna, Roma",,4.0,Suite Executive,Suite privata • 2 camere da letto • 2 zone giorno • 1 bagno • 38 m²,"Suite ExecutiveSuite privata • 2 camere da letto • 2 zone giorno • 1 bagno • 38 m²2 letti (1 matrimoniale grande, 1 divano letto)Ne resta solo 1 a questo prezzo sul nostro sito"
93,Mellini Palace Suites by Premium Suites Collection,"8,4",Ottimo ,636 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 237,"1,6 km dal centro","Vaticano Prati, Roma",,4.0,Suite Matrimoniale Standard,Suite privata,Suite Matrimoniale StandardSuite privata1 letto matrimoniale largeNe resta solo 1 a questo prezzo sul nostro sito
94,Merulana Suite Apartment,"9,2",Eccellente ,304 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 205,"1,7 km dal centro","Rione Monti, Roma",,4.0,Casa con 1 Camera da Letto,Intera casa vacanze • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 55 m²,"Casa con 1 Camera da LettoIntera casa vacanze • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 55 m²2 letti (1 matrimoniale grande, 1 divano letto)Ne resta solo 1 a questo prezzo sul nostro sito"
95,Residenza Al Corso Suites,"8,6",Favoloso ,525 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 184,"1,5 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale alla franceseRestano solo 3 camere a questo prezzo sul nostro sito
96,Bramble Luxury Suites,"8,6",Favoloso ,915 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 322,"0,9 km dal centro","Trevi, Roma",,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
97,TB Place Roma,"9,3",Eccellente ,795 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 532,"0,9 km dal centro","Spagna, Roma",4.0,,Camera Classic Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Classic Matrimoniale/Doppia con Letti Singoli Vari tipi di lettoColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
98,Pantheon Suites Rome 2,"8,2",Ottimo ,207 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 230,"0,6 km dal centro","Pantheon, Roma",,3.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
99,Operà Suites Pinciana,"8,9",Favoloso ,1.133 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 224,"1,3 km dal centro","Via Veneto, Roma",,4.0,Camera Tripla,Configurazione camera non disponibile,"Camera Tripla2 letti (1 divano letto, 1 matrimoniale)Colazione inclusaResta solo 1 camera a questo prezzo sul nostro sito"
100,XXIV Domus Luxury Suites,"8,0",Ottimo ,732 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 168,2 km dal centro,"Vaticano Prati, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale large • Culla gratuita sempre disponibileResta solo 1 camera a questo prezzo sul nostro sito
101,Hotel Impero,"8,1",Ottimo ,5.253 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 173,"1,3 km dal centro","Stazione Termini, Roma",3.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla francese
102,Moderno Hotel Roma,"8,3",Ottimo ,1.381 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 175,"1,8 km dal centro","Stazione Termini, Roma",4.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseRestano solo 6 camere a questo prezzo sul nostro sito
103,Hotel Caravel,"8,2",Ottimo ,1.148 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 140,"3,6 km dal centro","Ostiense, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliVari tipi di lettoRestano solo 2 camere a questo prezzo sul nostro sito
104,My Maison 109 Guest House,"8,7",Favoloso ,594 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 210,2 km dal centro,"Stazione Termini, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale alla franceseCancellazione gratuitaRestano solo 5 camere a questo prezzo sul nostro sito
105,Erreggi Luxury Rooms,"9,3",Eccellente ,1.604 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 181,"2,2 km dal centro","Vaticano Prati, Roma",,4.0,Camera Queen Deluxe,Configurazione camera non disponibile,Camera Queen Deluxe1 letto matrimoniale largeColazione inclusaRestano solo 5 camere a questo prezzo sul nostro sito
106,Residenza Cavallini,"8,1",Ottimo ,1.740 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 187,"1,4 km dal centro","Vaticano Prati, Roma",,3.0,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
107,Gentile Suites,"8,3",Ottimo ,269 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 179,"2,6 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
108,Residenza A -Via Veneto Fashion Rooms -self check-in,"8,6",Favoloso ,560 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 178,"1,5 km dal centro","Via Veneto, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
109,Via Veneto Suites,"8,1",Ottimo ,521 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 227,"1,8 km dal centro","Via Veneto, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
110,"Mater Rooms&Suites, SELF CHECK IN","8,5",Ottimo ,508 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 169,"0,7 km dal centro","Pantheon, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 divano lettoResta solo 1 camera a questo prezzo sul nostro sito
111,Carrara 24,"8,7",Favoloso ,1.030 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 147,"1,9 km dal centro","Villa Borghese/Parioli, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
112,Hotel Le Petit,"8,5",Ottimo ,3.828 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 190,"1,2 km dal centro","Stazione Termini, Roma",3.0,, Camera Matrimoniale con Vista Cortile,Configurazione camera non disponibile, Camera Matrimoniale con Vista CortileLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
113,Art Atelier Borgo,"9,2",Eccellente ,976 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 269,2 km dal centro,"Vaticano Prati, Roma",,4.0,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti Singoli1 letto matrimoniale • Culla gratuita sempre disponibileResta solo 1 camera a questo prezzo sul nostro sito
114,Fabio Massimo Guest House,"8,8",Favoloso ,935 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 191,"2,3 km dal centro","Vaticano Prati, Roma",,4.0,Suite Superior,Suite privata,Suite SuperiorSuite privata1 letto matrimoniale largeNe resta solo 1 a questo prezzo sul nostro sito
115,Casa San Giuseppe,"8,8",Favoloso ,2.334 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 154,"2,6 km dal centro","San Giovanni, Roma",,,Camera Standard Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Doppia con Letti Singoli2 letti singoliRestano solo 4 camere a questo prezzo sul nostro sito
116,Passepartout,"8,7",Favoloso ,628 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 246,"1,1 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
117,Roma In Una Stanza Guesthouse,"8,3",Ottimo ,461 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 183,"3,4 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusaRestano solo 6 camere a questo prezzo sul nostro sito
118,May Home Guest House,"9,1",Eccellente ,81 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 165,"1,5 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
119,Telier Ripetta,"8,7",Favoloso ,33 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 184,"1,6 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
120,Alea Home Roma,"8,4",Ottimo ,630 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 100,3 km dal centro,"Trionfale, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
121,The Spanish Suite Campo de' Fiori,"7,5",Buono ,1.676 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 255,"0,7 km dal centro","Piazza Navona, Roma",,3.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,"Camera Matrimoniale Deluxe2 letti (1 singolo, 1 matrimoniale)"
122,Golden Rooms Piazza di Spagna,"7,6",Buono ,633 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 176,1 km dal centro,"Spagna, Roma",,3.0,Camera Matrimoniale Deluxe con Balcone,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Balcone1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
123,Roma Vatican,"8,9",Favoloso ,642 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 162,"2,3 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimoniale largeColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
124,Maison Pellegrino,"8,0",Ottimo ,279 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 205,"1,5 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
125,ELICAL Vatican Suites,"9,0",Eccellente ,104 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 255,"1,3 km dal centro","Piazza Navona, Roma",,4.0,Camera Tripla Standard,Configurazione camera non disponibile,"Camera Tripla Standard2 letti (1 singolo, 1 matrimoniale)Colazione inclusaResta solo 1 camera a questo prezzo sul nostro sito"
126,Seven,"8,3",Ottimo ,1.408 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 195,"1,2 km dal centro","Stazione Termini, Roma",,4.0,Camera Classic Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Classic Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
127,Cicerone's Luxury Suites,"8,8",Favoloso ,141 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 158,"1,7 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale largeColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
