,titolo_booking,prezzo_booking,indirizzo_booking,città_booking,numero_recensioni_booking,valutazione_booking
520,hotel major the,332,monti,Roma,1.0,
521,cp guest house luxury,111,gianicolense,Roma,22.0,4.0
522,gladiatore il,190,aventino,Roma,760.0,3.0
523,a ripagrande trastevere,243,trastevere,Roma,576.0,4.0
524,duelle suite vatican,141,vaticano prati,Roma,252.0,4.0
525,chic luxury rooms town,177,spagna,Roma,999.0,4.0
526,borgognoni dei hotel,362,spagna,Roma,360.0,
527,e hotel noba residenze,139,monte sacro,Roma,1.0,
528,da me suites,175,spagna,Roma,1.0,4.0
529,house sofia vatican,302,trionfale,Roma,145.0,4.0
530,centro rattazzi,181,stazione termini,Roma,140.0,4.0
531,casa in mia trastevere,237,trastevere,Roma,1.0,
532,est novotel,143,,Roma,280.0,
533,cardinali city dei hotel palazzo,208,spagna,Roma,1.0,
534,galla h10 palazzo,345,trevi,Roma,2.0,
535,apartment babuino luxury serviced the,1283,spagna,Roma,112.0,4.0
536,collection colosseum mate mia room,275,colosseo,Roma,1.0,
537,at filiberto home townhouse,177,stazione termini,Roma,662.0,4.0
538,hostel mosaic,109,stazione termini,Roma,5.0,
539,luxury pantheonview suites,266,pantheon,Roma,961.0,4.0
540,natural ripetta suites,149,spagna,Roma,703.0,4.0
541,hotel ht6,366,pantheon,Roma,1.0,
542,107 corso rooms spa suite wellness,240,spagna,Roma,754.0,4.0
543,vaticano84,169,trionfale,Roma,356.0,4.0
544,luxury piazza suite venezia,374,trevi,Roma,228.0,4.0
545,citizenm isola tiberina,304,pantheon,Roma,2.0,
546,glam luxury,162,monti,Roma,473.0,
547,room select veneto via,187,via veneto,Roma,2.0,
548,iron luxury rooms,196,stazione termini,Roma,527.0,4.0
549,by garden hotels omnia palace rose,267,via veneto,Roma,222.0,
550,belltower elegans,180,stazione termini,Roma,575.0,4.0
551,barberini hotel,364,trevi,Roma,1.0,
